,State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,Hospital Beds
2660,Texas,Knox,0,3753,948,25.3,,5832.0
2661,Texas,Lamar,20,49401,12011,24.3,601.0,654.0
2662,Texas,Lamb,0,13368,2865,21.4,,75.0
2663,Texas,Lampasas,0,20473,5172,25.3,,25.0
2664,Texas,La Salle,0,7418,1516,20.4,,1352.0
2665,Texas,Lavaca,3,19859,6001,30.2,2000.0,50.0
2666,Texas,Lee,0,16850,4236,25.1,,3672.0
2667,Texas,Leon,0,16966,5181,30.5,,1208.0
2668,Texas,Liberty,0,79884,14641,18.3,,1185.0
2669,Texas,Limestone,6,23480,5738,24.4,956.0,181.0
2670,Texas,Lipscomb,0,3495,732,20.9,,
2671,Texas,Live Oak,0,12043,3164,26.3,,
2672,Texas,Llano,0,20195,9184,45.5,,30.0
2673,Texas,Loving,0,74,29,39.2,,
2674,Texas,Lubbock,267,298042,49312,16.5,185.0,2562.0
2675,Texas,Lynn,0,5785,1293,22.4,,24.0
2676,Texas,McCulloch,0,8145,2448,30.1,,25.0
2677,Texas,McLennan,54,245720,46694,19.0,865.0,2859.0
2678,Texas,McMullen,0,600,185,30.8,,
2679,Texas,Madison,0,13979,2846,20.4,,8477.0
2680,Texas,Marion,0,10140,3384,33.4,,13297.0
2681,Texas,Martin,0,5547,899,16.2,,707.0
2682,Texas,Mason,0,4122,1351,32.8,,395.0
2683,Texas,Matagorda,6,36744,8504,23.1,1417.0,75.0
2684,Texas,Maverick,10,57471,8834,15.4,883.0,101.0
2685,Texas,Medina,0,48548,10696,22.0,,266.0
2686,Texas,Menard,0,2123,708,33.3,,
2687,Texas,Midland,48,159883,24676,15.4,514.0,977.0
2688,Texas,Milam,0,24479,6636,27.1,,35.0
2689,Texas,Mills,0,4887,1716,35.1,,851.0
2690,Texas,Mitchell,0,8774,1647,18.8,,194.0
2691,Texas,Montague,0,19406,5647,29.1,,87.0
2692,Texas,Montgomery,97,535187,96577,18.0,996.0,15309.0
2693,Texas,Moore,3,22016,3264,14.8,1088.0,397.0
2694,Texas,Morris,0,12530,3505,28.0,,3029.0
2695,Texas,Motley,0,1114,354,31.8,,
2696,Texas,Nacogdoches,27,65411,11946,18.3,442.0,390.0
2697,Texas,Navarro,9,48239,10925,22.6,1214.0,162.0
2698,Texas,Newton,0,14187,3871,27.3,,615.0
2699,Texas,Nolan,5,14990,3544,23.6,709.0,85.0
2700,Texas,Nueces,115,358484,68411,19.1,595.0,2224.0
2701,Texas,Ochiltree,0,10484,1503,14.3,,25.0
2702,Texas,Oldham,0,2083,388,18.6,,187.0
2703,Texas,Orange,0,83909,17601,21.0,,19132.0
2704,Texas,Palo Pinto,8,28109,7221,25.7,903.0,74.0
2705,Texas,Panola,0,23574,5727,24.3,,161.0
2706,Texas,Parker,20,125963,26729,21.2,1336.0,125.0
2707,Texas,Parmer,0,9871,1826,18.5,,25.0
2708,Texas,Pecos,0,15804,2754,17.4,,41.0
2709,Texas,Polk,8,46974,12746,27.1,1593.0,5166.0
2710,Texas,Potter,99,121230,19850,16.4,201.0,2240.0
2711,Texas,Presidio,0,7191,1986,27.6,,
2712,Texas,Rains,0,11246,3375,30.0,,
2713,Texas,Randall,0,130552,25788,19.8,,4.0
2714,Texas,Reagan,0,3735,608,16.3,,21.0
2715,Texas,Real,0,3358,1378,41.0,,
2716,Texas,Red River,0,12353,3684,29.8,,86.0
2717,Texas,Reeves,0,14791,2482,16.8,,25.0
2718,Texas,Refugio,0,7293,1985,27.2,,20.0
2719,Texas,Roberts,0,889,255,28.7,,25.0
2720,Texas,Robertson,0,16727,4255,25.4,,109.0
2721,Texas,Rockwall,6,90414,14954,16.5,2492.0,170.0
2722,Texas,Runnels,0,10266,2816,27.4,,50.0
2723,Texas,Rusk,0,53026,11467,21.6,,121.0
2724,Texas,Sabine,0,10429,3930,37.7,,69.0
2725,Texas,San Augustine,0,8403,2707,32.2,,18.0
2726,Texas,San Jacinto,0,27436,7726,28.2,,
2727,Texas,San Patricio,0,66867,12717,19.0,,75.0
2728,Texas,San Saba,0,5851,1673,28.6,,
2729,Texas,Schleicher,0,3122,711,22.8,,14.0
2730,Texas,Scurry,0,17346,3440,19.8,,25.0
2731,Texas,Shackelford,0,3348,781,23.3,,
2732,Texas,Shelby,0,25689,5778,22.5,,7126.0
2733,Texas,Sherman,0,3067,630,20.5,,25.0
2734,Texas,Smith,194,222277,47438,21.3,245.0,1454.0
2735,Texas,Somervell,0,8650,2134,24.7,,16.0
2736,Texas,Starr,0,63420,9636,15.2,,48.0
2737,Texas,Stephens,0,9365,2425,25.9,,274.0
2738,Texas,Sterling,0,1139,217,19.1,,
2739,Texas,Stonewall,0,1084,369,34.0,,20.0
2740,Texas,Sutton,0,3894,904,23.2,,12.0
2741,Texas,Swisher,0,7541,1817,24.1,,20.0
2742,Texas,Tarrant,409,1983675,306980,15.5,751.0,6814.0
2743,Texas,Taylor,110,135371,25874,19.1,235.0,2391.0
2744,Texas,Terrell,0,721,282,39.1,,
2745,Texas,Terry,0,12755,2635,20.7,,45.0
2746,Texas,Throckmorton,0,1541,518,33.6,,14.0
2747,Texas,Titus,8,32664,6098,18.7,762.0,164.0
2748,Texas,Tom Green,29,116906,23527,20.1,811.0,614.0
2749,Texas,Travis,294,1176584,160972,13.7,548.0,4903.0
2750,Texas,Trinity,0,14481,5058,34.9,,96.0
2751,Texas,Tyler,0,21456,5960,27.8,,61.0
2752,Texas,Upshur,0,40506,9637,23.8,,88.0
2753,Texas,Upton,0,3575,636,17.8,,44.0
2754,Texas,Uvalde,6,27015,6046,22.4,1008.0,25.0
2755,Texas,Val Verde,7,48976,9283,19.0,1326.0,93.0
2756,Texas,Van Zandt,0,53607,14526,27.1,,52.0
2757,Texas,Victoria,43,91518,19189,21.0,446.0,723.0
2758,Texas,Walker,6,70818,11996,16.9,1999.0,390.0
2759,Texas,Waller,0,48443,7862,16.2,,
2760,Texas,Ward,0,11498,2149,18.7,,552.0
2761,Texas,Washington,5,34667,9303,26.8,1861.0,15195.0
2762,Texas,Webb,56,269624,34315,12.7,613.0,1577.0
2763,Texas,Wharton,4,41430,9080,21.9,2270.0,210.0
2764,Texas,Wheeler,0,5599,1286,23.0,,66.0
2765,Texas,Wichita,24,131778,25521,19.4,1063.0,1595.0
2766,Texas,Wilbarger,0,12972,2900,22.4,,687.0
2767,Texas,Willacy,0,21839,3957,18.1,,
2768,Texas,Williamson,90,508313,81426,16.0,905.0,1665.0
2769,Texas,Wilson,4,47205,10123,21.4,2531.0,1654.0
2770,Texas,Winkler,0,7777,1204,15.5,,19.0
2771,Texas,Wise,21,63247,13012,20.6,620.0,244.0
2772,Texas,Wood,0,43315,14771,34.1,,1178.0
2773,Texas,Yoakum,0,8481,1306,15.4,,24.0
2774,Texas,Young,0,18166,4758,26.2,,67.0
2775,Texas,Zapata,0,14415,2414,16.7,,
2776,Texas,Zavala,0,12152,2252,18.5,,
2777,Utah,Beaver,0,6414,1215,18.9,,492.0
2778,Utah,Box Elder,0,52182,9213,17.7,,53.0
2779,Utah,Cache,14,120288,15104,12.6,1079.0,150.0
2780,Utah,Carbon,6,20512,4558,22.2,760.0,239.0
2781,Utah,Daggett,0,702,156,22.2,,
2782,Utah,Davis,22,334977,45623,13.6,2074.0,1603.0
2783,Utah,Duchesne,4,20259,3119,15.4,780.0,1123.0
2784,Utah,Emery,0,10410,2278,21.9,,
2785,Utah,Garfield,0,5020,1314,26.2,,665.0
2786,Utah,Grand,0,9544,2258,23.7,,63.0
2787,Utah,Iron,6,48504,7853,16.2,1309.0,88.0
2788,Utah,Juab,0,10694,1708,16.0,,25.0
2789,Utah,Kane,0,7246,2156,29.8,,2100.0
2790,Utah,Millard,0,12651,2764,21.8,,37.0
2791,Utah,Morgan,0,11014,1842,16.7,,967.0
2792,Utah,Piute,0,1860,657,35.3,,
2793,Utah,Rich,0,2307,491,21.3,,
2794,Utah,Salt Lake,282,1106700,164497,14.9,583.0,8926.0
2795,Utah,San Juan,1,15193,2833,18.6,2833.0,17301.0
2796,Utah,Sanpete,0,28892,5043,17.5,,43.0
2797,Utah,Sevier,0,20961,4522,21.6,,141.0
2798,Utah,Summit,4,39731,6731,16.9,1683.0,3878.0
2799,Utah,Tooele,4,63357,8290,13.1,2073.0,31.0
2800,Utah,Uintah,4,36343,4899,13.5,1225.0,39.0
2801,Utah,Utah,122,576496,59457,10.3,487.0,5029.0
2802,Utah,Wasatch,0,29306,4220,14.4,,19.0
2803,Utah,Washington,32,155577,40002,25.7,1250.0,15195.0
2804,Utah,Wayne,0,2700,712,26.4,,10525.0
2805,Utah,Weber,64,244101,38967,16.0,609.0,477.0
2806,Vermont,Addison,0,36825,9459,25.7,,25.0
2807,Vermont,Bennington,10,36054,10413,28.9,1041.0,99.0
2808,Vermont,Caledonia,4,30576,8308,27.2,2077.0,25.0
2809,Vermont,Chittenden,46,160985,31691,19.7,689.0,562.0
2810,Vermont,Essex,0,6203,2017,32.5,,9993.0
2811,Vermont,Franklin,0,48816,10296,21.1,,12572.0
2812,Vermont,Grand Isle,0,6950,1982,28.5,,
2813,Vermont,Lamoille,0,25191,5651,22.4,,25.0
2814,Vermont,Orange,2,28901,7904,27.3,3952.0,19132.0
2815,Vermont,Orleans,5,26951,7930,29.4,1586.0,6730.0
2816,Vermont,Rutland,13,59676,16414,27.5,1263.0,123.0
2817,Vermont,Washington,14,58691,15091,25.7,1078.0,15195.0
2818,Vermont,Windham,0,43332,12533,28.9,,463.0
2819,Vermont,Windsor,0,55485,16500,29.7,,1059.0
2820,Virginia,Accomack,10,32840,9713,29.6,971.0,
2821,Virginia,Albemarle,12,105105,24260,23.1,2022.0,285.0
2822,Virginia,Alleghany,10,15489,4783,30.9,478.0,246.0
2823,Virginia,Amelia,0,12802,3301,25.8,,
2824,Virginia,Amherst,0,31819,8552,26.9,,
2825,Virginia,Appomattox,0,15462,4077,26.4,,
2826,Virginia,Arlington,32,229534,32701,14.2,1022.0,334.0
2827,Virginia,Augusta,12,74390,19681,26.5,1640.0,255.0
2828,Virginia,Bath,0,4458,1200,26.9,,25.0
2829,Virginia,Bedford,6,77319,21440,27.7,3573.0,286.0
2830,Virginia,Bland,0,6524,1834,28.1,,
2831,Virginia,Botetourt,0,33149,9316,28.1,,
